"Source:","/home/brecht/Qsync/Documents/1 - School/2018 - 2019/Semester 2/Embedded system design 2 - labo/project-embeddedSystemDesign2/project-embeddedSystemDesign2.sch"
"Date:","vr 22 mrt 2019 00:52:19 CET"
"Tool:","Eeschema 5.1.0-060a0da~80~ubuntu18.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Class","Load capacitance","Placement","Tolerance"
"","","C1","10 µF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","IOVDD_0",""
"","","C2","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","IOVDD_0",""
"","","C3","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","IOVDD_3",""
"","","C4","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","IOVDD_5",""
"","","C5","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","VDD_DREG",""
"","","C6","10 µF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","AVDDD_0",""
"","","C7","10 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","AVDD_0",""
"","","C8","10 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","AVDD_1",""
"","","C9","1 µF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","X5R","","DECOUPLE",""
"","","C10","100 nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"","","C11","18 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"","","C12","18 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"","","C13","12 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"","","C14","12 pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","","","",""
"","","J1","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","","",""
"","","J2","Conn_02x09_Odd_Even","Connector_Generic:Conn_02x09_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical","~","","","",""
"","","J3","Conn_01x04","Connector_Generic:Conn_01x04","Connectors:1X04_LOCK","~","","","",""
"","","J4","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","",""
"","","J5","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","",""
"","","J6","Conn_01x03","Connector_Generic:Conn_01x03","Connectors:1X03_LOCK","~","","","",""
"","","J7","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","","","",""
"","","J8","Conn_01x01","Connector_Generic:Conn_01x01","Connectors:1X01","~","","","",""
"","","J9","Conn_01x07","Connector_Generic:Conn_01x07","Connectors:1X07_LOCK","~","","","",""
"","","J10","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical","~","","","",""
"","","J11","Conn_01x03","Connector_Generic:Conn_01x03","Connectors:1X03_LOCK","~","","","",""
"","","J12","Conn_01x02","Connector_Generic:Conn_01x02","Connectors:1X02_LOCK","~","","","",""
"","","L1","CBF102WB","Device:L_Core_Ferrite_Small","Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","",""
"","","R1","1 Ω","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
